Treatment,Env,Line,seedwt,TreatmentName,seedwtzeros,water,fertilizer,spacing,stress_intensity
1,1,Oh7B,4.142,PAC,4.142,full,standardN,regular,0
2,1,Oh7B,4.661,UCN,4.661,full,standardN,regular,0
3,1,Oh7B,3.412,PCZ,3.412,full,standardN,regular,0
4,1,Oh7B,3.62,GA,3.62,full,standardN,regular,0
5,1,Oh7B,0,PACGA,0,full,standardN,regular,0
6,1,Oh7B,3.825,nohormone,3.825,full,standardN,regular,0
1,1,Mo276,4.21,PAC,4.21,full,standardN,regular,0
2,1,Mo276,2.821,UCN,2.821,full,standardN,regular,0
3,1,Mo276,5.692,PCZ,5.692,full,standardN,regular,0
4,1,Mo276,4.141,GA,4.141,full,standardN,regular,0
5,1,Mo276,4.797,PACGA,4.797,full,standardN,regular,0
6,1,Mo276,5.722,nohormone,5.722,full,standardN,regular,0
1,1,Mo287,6.807,PAC,6.807,full,standardN,regular,0
2,1,Mo287,7.328,UCN,7.328,full,standardN,regular,0
3,1,Mo287,5.131,PCZ,5.131,full,standardN,regular,0
4,1,Mo287,5.515,GA,5.515,full,standardN,regular,0
5,1,Mo287,5.424,PACGA,5.424,full,standardN,regular,0
6,1,Mo287,5.519,nohormone,5.519,full,standardN,regular,0
1,2,Oh7B,5.43,PAC,5.43,full,standardN,dense,1
2,2,Oh7B,,UCN,0,full,standardN,dense,1
3,2,Oh7B,5.686,PCZ,5.686,full,standardN,dense,1
4,2,Oh7B,4.193,GA,4.193,full,standardN,dense,1
5,2,Oh7B,,PACGA,0,full,standardN,dense,1
6,2,Oh7B,4.19,nohormone,4.19,full,standardN,dense,1
1,2,Mo276,5.322,PAC,5.322,full,standardN,dense,1
2,2,Mo276,,UCN,0,full,standardN,dense,1
3,2,Mo276,0,PCZ,0,full,standardN,dense,1
4,2,Mo276,4.269,GA,4.269,full,standardN,dense,1
5,2,Mo276,3.814,PACGA,3.814,full,standardN,dense,1
6,2,Mo276,4.544,nohormone,4.544,full,standardN,dense,1
1,2,Mo287,,PAC,0,full,standardN,dense,1
2,2,Mo287,0,UCN,0,full,standardN,dense,1
3,2,Mo287,,PCZ,0,full,standardN,dense,1
4,2,Mo287,,GA,0,full,standardN,dense,1
5,2,Mo287,4.238,PACGA,4.238,full,standardN,dense,1
6,2,Mo287,3.428,nohormone,3.428,full,standardN,dense,1
1,1,LH132,5.025,PAC,5.025,full,standardN,regular,0
2,1,LH132,5.374,UCN,5.374,full,standardN,regular,0
3,1,LH132,5.39,PCZ,5.39,full,standardN,regular,0
4,1,LH132,5.369,GA,5.369,full,standardN,regular,0
5,1,LH132,5.536,PACGA,5.536,full,standardN,regular,0
6,1,LH132,6.594,nohormone,6.594,full,standardN,regular,0
1,1,Mo17,4.504,PAC,4.504,full,standardN,regular,0
2,1,Mo17,4.197,UCN,4.197,full,standardN,regular,0
